origin,origin_length,game_order,text_jp,text_en,verified,game_order
0x0e00e3e4,42,208,\%\M、\n\%\Bにボールって\nどれか教えてあげて。\k,,,
0x0e00e410,31,211,これだよ!\nこれがボールだよ!\k,,,
0x0e00e430,31,212,\%\B、あれだよ。\nあれがボール。\k,,,
0x0e00e450,35,213,そうそう、\%\B。\nあれ、取ってきて!\k,,,
0x0e00e474,34,214,\%\B。\nボール取ってきて!\nボール!\k,,,
0x0e00e498,43,215,そう、\%\B、あっちよ!\nパパに持っていって!\k,,,
0x0e00e4c4,44,216,\%\B、\nボール持ってきて。\nパパに持ってきて。\k,,,
0x0e00e4f0,12,217,やったー!\k,,,
0x0e00e4fc,29,218,よ〜し、\%\B。\nエライぞ!\%\B。\k,,,
0x0e00e51c,37,219,よし、それじゃあ\n\%\M、やってごらん。\k,,,
0x0e00ef0c,20,221,\%\B、こっちおいで!\k,,,
0x0e00ef20,33,222,よ〜し、\%\B\nおりこう、おりこう。\k,,,
0x0e00fdd0,27,223,\%\B、\nボール、あのボール。\k,,,
0x0e00fdec,24,224,あのボール取ってきて!\k,,,
0x0e00ef44,51,225,\%\B………\k\n\!とってこいを教える。\n\!教えるのやめる。\n,,,
0x0e00ffd0,33,226,\%\B、\nボール!ボール取ってきて!\k,,,
0x0e00ef78,21,227,ダメだよー、\%\B……\k\n,,,
0x0e00ef90,41,228,\!とってこいを教える。\n\!教えるのやめる。\n,,,
0x0e01020c,38,229,\%\B!\nボール取ってきて!\nおねがい!!\k,,,
0x0e010ed4,70,231,\%\M、これもおすわりと\n同じであきらめちゃダメだ。\n根気よくやるんだよ。\k,,,
0x0e0102f8,17,235,…………\k\%\B!!\k,,,
0x0e01030c,25,236,ボール!\n取ってきて!!\k,,,
0x0e010328,47,238,\%\Mはちょっと\nイライラしてるんじゃ\nないかな。\k\n,,,
0x0e010358,8,239,え!?\k,,,
0x0e010360,27,240,\%\Bにだって\n心があるんだ。\k,,,
0x0e01037c,46,241,\%\Bが\%\Mの\n思いどうりに持ってこない\nからって、\k,,,
0x0e0103ac,37,242,\%\Mはイライラ\nしてたんじゃないかな。\k,,,
0x0e0103d4,62,243,\%\Bはとてもビンカン\nだから、ちゃんと\%\Mの\n様子がわかるんだよ。\k,,,
0x0e010414,37,244,イライラしてる\n\%\Mの所には来ないよ。\k,,,
0x0e01043c,12,245,そおねぇ…\k,,,
0x0e010448,70,246,\%\Bが一度でも取って\nきてくれたら、たくさん\nほめてあげるといいかもね。\k,,,
0x0e010490,49,247,\%\Bがとっても\nうれしくなるくらい、\k\nたくさんね。\k,,,
0x0e0104c4,46,248,そうしたら\%\Bは\nまた\%\Mにほめて\nもらいたくて、\k,,,
0x0e0104f4,50,249,ボールを持ってくる\nようになるんじゃ\nないかしら。\k,,,
0x0e010528,12,250,そうか……\k,,,
0x0e010534,61,251,うん、わかった!\k\nイライラしない!\k\nたくさんほめる!\kだね。\k,,,
0x0e010574,14,252,やってみる!\k,,,
0x0e010988,41,255,ボール取ってきて!\k\nボール。\nボールよ!\k,,,
0x0e010b78,48,257,ほら、\%\B。\nあれよ。あのボールを\n取ってくるの。\k,,,
0x0e010ba8,35,258,そう、そのボールを\n持ってくるの。\k,,,
0x0e010bcc,33,259,う〜ん、\%\B。\nわかんないかなぁ。\k,,,
0x0e00efbc,35,260,ほら、\%\B。\nあれよ。あのボールよ。\k,,,
0x0e00efe0,14,261,…………!!\k,,,
0x0e00eff0,29,262,ほら、\%\B、\n\%\Mに渡すんだよ。\k,,,
0x0e00f010,42,263,\%\B、そのボール\nあたしにちょうだい。\n\%\B!\k,,,
0x0e00f03c,40,264,\%\B!\n持ってきて。\nこっちに持ってきて!\k,,,
0x0e00f064,10,265,\%\B………\k,,,
0x0e00f070,39,266,やったー!\%\Bが\nとってこいできたー!!\k,,,
0x0e00f098,44,267,\%\B、\nエライ、エライ!\n\%\Bはおりこうさんね。\k,,,
0x0e00f0c4,13,268,パパ、ママ\,\k,,
0x0e00f0d4,48,269,\%\B、\nやっと、とってこい\nできるようになったよ。\k,,,
0x0e00f104,27,270,うん、良かったわねぇ\n\%\M。\k,,,
0x0e00f120,38,271,\%\Mの心が\n\%\Bに通じたんじゃ\nないかな。\k,,,
0x0e010f6c,41,272,子犬は、ねかせてあげるのも\n大事なのよ?\k,,,
0x0e010f98,39,273,病気になっちゃったら\nタイヘンでしょ?\k,,,
0x0e010fc0,33,274,もう、\nねかせてあげましょうね。\k,,,
0x0e010fe4,10,275,はーい…\k,,,
0x0e010ff0,43,276,あしたから、ボールあそびが\nできるぞ、\%\M。\k,,,
0x0e01101c,27,277,そうだね!\nおやすみ、\%\B。\k,,,
0x0e0112c0,28,278,さあ、今日は日曜日だから、\k,,,
0x0e05e388,11,279,あれは……,,,
0x0e05e394,18,280,あれはたしか……\n,,,
0x0e05e3a8,25,281,うう〜ん、思い出せない。,,,
0x0e05e3c4,24,282,でも、なかよしだった…\n,,,
0x0e05e3dc,25,283,えーと、えーと、クマの…,,,
0x0e05e3f8,12,284,\%\Mちゃん、\n,,,
0x0e05e404,25,285,ガンバッて!思いだして!,,,
0x0e05e420,9,286,えーと…,,,
0x0e05e42c,10,287,そうだ!\n,,,
0x0e05e438,23,288,クマのムク!!ムクだ!,,,
0x0e05e450,26,289,キュッキュ、何だオマエ、\n,,,
0x0e05e46c,23,290,あのクマ公のなかまか?,,,
0x0e05e484,17,291,そうよ。友達よ!,,,
0x0e05e498,14,292,あんたたち、\n,,,
0x0e05e4a8,22,293,ハクサイだいまおうの\n,,,
0x0e05e4c0,11,294,手下ねッ!,,,
0x0e05e4cc,16,295,弱い者イジメは\n,,,
0x0e05e4dc,15,296,やめなさいよ!,,,
0x0e05e4ec,20,297,キュッキュッキュ。\n,,,
0x0e05e500,25,298,だからどうしたってんだ。,,,
0x0e05e51c,16,299,やい、オレたち\n,,,
0x0e05e52c,25,300,キューリマンと戦う気か?,,,
0x0e05e548,14,301,イボイボで、\n,,,
0x0e05e558,21,302,ゴシゴシしてやる〜!,,,
0x0e05e570,13,303,あっ!\%\B!!,,,
0x0e0112dc,54,583,公園にでも行って、\n\%\Bとボールあそびを\nやるといいぞ!\k,,,
0x0e011314,26,584,うん! いこう!\k\n\%\B!!\k,,,
0x0e011330,20,585,いってきまーーす!\k,,,
0x0e011344,26,586,はい、いってらっしゃい。\k,,,
0x0e011b94,35,587,いい、\%\B。\nこれをとってくるのよ。\k,,,
0x0e011bd4,11,588,行くよ。\k\n,,,
0x0e011be0,33,589,\!かるく投げる\n \!つよく投げる\n,,,
0x0e011c04,9,590,それっ!,,,
0x0e011c10,67,591,\%\B、えらいえらい。\k\nきちんと、とってこいが\nできるようになったね。\k,,,
0x0e011bb8,27,592,じゃあ、もう1回行くよ。\k\n,,,
0x0e011c54,66,599,\%\B、すッごーい!\n教えてもないのに、どうして\nそんなことできるの?\k,,,
0x0e0125ec,50,602,よーし。次はちょっと\nむずかしいの、やるからね!\k\n,,,
0x0e012620,29,603,いい、行くよ、\%\B!\k\nそれっ!,,,
0x0e012640,16,604,\%\Bー、あった?\k,,,
0x0e012650,14,605,………。\%\Bー\k,,,
0x0e012660,38,606,\%\B、\%\B!\nおいで!\nもどっておいで〜!\k,,,
0x0e012688,56,607,\%\Bー。\n\%\Bの名前よんでたら、\nおなかすいてきちゃった……\k,,,
0x0e0126c0,37,608,\%\B……、\nどうしちゃったんだろう……\k,,,
0x0e012d40,6,609,\%\B!\k,,,
0x0e012d48,41,610,何してたのよぉ。\n心配してたんだからぁ。\k,,,
0x0e012d74,56,611,それ、な〜に?\nもう、ボール以外の物を\n拾ってきて…… \k,,,
0x0e012dac,35,612,あれ……。\nこの人形、どこかで……\k,,,
0x0e012dd0,64,613,そうだ……。\nずっと前、ここに引っこし\nてくる時になくなった……\k,,,
0x0e012e10,16,614,えと、う〜ん。\k,,,
0x0e012e20,49,615,大切にしてたのに、何で\n思い出せないのかなぁ……\k,,,
0x0e012e54,16,616,ジュディ……。\n,,,
0x0e012e64,29,617,\kそうだ、これ、ジュディだ!\k,,,
0x0e012e84,39,618,思い出してくれたのねッ、\n\%\Mちゃん! \k,,,
0x0e012eac,24,619,え? え? エェーッ?\k,,,
0x0e012ec4,44,620,\%\Mちゃん!\n大変なのッ!!\n大変なんだから!\k,,,
0x0e012ef0,27,621,早く早く、\n\%\Mランドに……\k,,,
0x0e0136e4,33,622,あーあー、ゴホン!\nもしもし… \k,,,
0x0e013708,45,623,なな、なんで!?\n目覚まし時計が動いてるッ!\k,,,
0x0e013738,52,624,うるさいなァ。とにかく、\n\%\Mランドが大変なの\nよッ!\k,,,
0x0e01376c,48,625,だから、\%\Mちゃん\nいっしょに来て、\n\%\Mランドに!\k,,,
0x0e01379c,33,626,え? ええーっ?\nどうゆうこと?\k,,,
0x0e0137c0,26,627,あたし、わかんないよぉ!\k,,,
0x0e0137dc,18,628,オホンオホンッ!\k,,,
0x0e0137f0,41,629,\%\Mランドの住人が、\nいかんよ、ジュディ。\k,,,
0x0e01381c,82,630,時間のとびらの管理人である\nワシのゆるしもなく、勝手に\nげんじつの世界にくるとは。\k,,,
0x0e013870,26,631,さあ、もどったもどった!\k,,,
0x0e01388c,72,632,もう、タイヘンなんだから\nしょうがないでしょ!!\nうるさいオジサンね!!\k,,,
0x0e0138d4,10,633,オジ……\k,,,
0x0e0138e0,31,634,ゴホン!\nワシはクロックじゃ。\k,,,
0x0e013900,58,635,さっきも言った通り、\n\%\Mランドと\nげんじつの世界とをつなぐ\k,,,
0x0e01393c,33,636,時間のとびらの管理人で\nあるぞ。\k,,,
0x0e013960,54,637,ところで\%\Mちゃん、\nそろそろジュクに行く時間で\nある。\k,,,
0x0e013998,39,638,もう!じゅくなんてどうでも\nいいのッ!\k,,,
0x0e0139c0,43,639,お願い\%\Mちゃん\n時間がナイの。これを見て!\k,,,
0x0e0139ec,26,640,これ……ダレのアルバム?\k,,,
0x0e013a08,20,641,……………………。\k,,,
0x0e013a1c,25,642,これ、あたしのアルバム!,,,
0x0e013a38,2,643,\k,,,
0x0e013a3c,22,644,なんで! どうして?\k,,,
0x0e013a54,45,645,ええッ? 写真が……\n写真が、消えちゃう!!\k,,,
0x0e0143cc,41,646,\%\Mランドが今、\n大変なことになってるの!\k,,,
0x0e0143f8,56,647,このままだと、\n\%\Mちゃんの思い出は\nみんな消えちゃうよ!\k,,,
0x0e014430,72,648,もう少しおそかったら、\nジュディのことも思い出せ\nなくなってたんだから!\k,,,
0x0e014478,56,649,ジュディ、\n時間のとびらはもうすぐ\nしまる時間であるぞ!\k,,,
0x0e0144b0,22,650,さあ、もどるである!\k,,,
0x0e0144c8,48,651,お願い\%\Mちゃん!\nジュディのこと\nわすれないで!\k,,,
0x0e0144f8,39,652,あたしたち、\nいつまでも友達でしょう?\k,,,
0x0e014520,33,653,も、もちろん友達よ、\nジュディ!\k,,,
0x0e014544,35,654,でも、\%\Mランドって\nドコにあるの?\k,,,
0x0e014568,51,655,あたし、これからジュクに\n行かなきゃならないし… \k,,,
0x0e01459c,60,656,時間がないんじゃぞ、\nジュディ。\nあと20びょう……19……\k,,,
0x0e0145d8,68,657,宿題もまだやってないよ!\n夕ご飯におくれるとパパに\nしかられるし……\k,,,
0x0e01461c,22,658,15……14……13\k,,,
0x0e014634,20,659,えと……ほ、ほら、\k,,,
0x0e014648,56,660,\%\Mランドに行くに\nしても、色々じゅんびが\nあるじゃない。\k,,,
0x0e014680,47,661,持ってゆく物とか、\n用意しなきゃならないし……\k,,,
0x0e0146b0,45,662,……10……ジュディ、\n時間がナイんじゃぞ!\k,,,
0x0e0146e0,53,663,……8……もどれなくなっ\nてもいいのか!?……7……\k,,,
0x0e014718,31,664,\%\Mちゃん、\nそういうワケなの!\k,,,
0x0e014738,16,665,さあ、行こう!\k,,,
0x0e014748,39,666,くわしくはアッチで\n説明するからね! \k,,,
0x0e014770,20,667,ええ〜ッ!そんな、\k,,,
0x0e014784,14,668,ジュディ!!\k,,,
0x0e014794,18,669,クロックさん!!\k,,,
0x0e0147a8,11,670,あっ……\k\n,,,
0x0e0147b4,6,671,\%\B。\k,,,
0x0e0147bc,33,672,もう、\nちょっと待ってよぉ〜ッ!\k,,,
0x0e015c60,14,673,\@………ちゃん,,,
0x0e015c70,7,674,………,,,
0x0e015c78,12,675,\%\Mちゃん。\n,,,
0x0e015c84,11,676,\%\Mちゃん!,,,
0x0e015c90,19,677,ママ?\k今、何時?\k,,,
0x0e015ca4,16,1077,キャ! \%\B……\n,,,
0x0e015cb4,14,1078,ここはドコ?\k,,,
0x0e015cc4,16,1079,ここは\%\Mランド\n,,,
0x0e015cd4,20,1080,であるぞ、\%\Mちゃん\k,,,
0x0e015ce8,19,1081,クロックさん……\k\n,,,
0x0e015cfc,18,1082,ジュディ……ッ!\k,,,
0x0e015d10,18,1083,思い出の国に……\n,,,
0x0e015d24,20,1084,来ちゃったんだ……\k,,,
0x0e015d38,12,1085,\%\Mちゃん、\n,,,
0x0e015d44,16,1086,どしたのかな?\k,,,
0x0e015d54,22,1087,じゅくに時間どおりに\n,,,
0x0e015d6c,28,1088,行けなかったので、こまって\n,,,
0x0e015d88,14,1089,いるのである\k,,,
0x0e015d98,10,1090,そんなの\n,,,
0x0e015da4,24,1091,こまるわけないでしょ!\k,,,
0x0e015dbc,28,1092,そんなことはないであるぞ、\n,,,
0x0e015dd8,12,1093,ジュディ。\k,,,
0x0e015de4,28,1094,時間におくれるのは大じけん\n,,,
0x0e015e00,14,1095,であるのだ!\k,,,
0x0e015e10,13,1096,ムカー!!\k\n,,,
0x0e015e20,30,1097,大体、あんた時間、時間って、\n,,,
0x0e015e40,18,1098,うるさすぎない?\k,,,
0x0e015e54,26,1099,あんただって、時間にちょ\n,,,
0x0e015e70,26,1100,びっとくらいおくれること\n,,,
0x0e015e8c,22,1101,だってあんでしょ!?\k,,,
0x0e015ea4,10,1102,ないぞ。\k,,,
0x0e015eb0,20,1103,ワシは2ヵ月に1回\n,,,
0x0e015ec4,28,1104,定期てんけんを欠かさずやっ\n,,,
0x0e015ee0,10,1105,ておる。\k,,,
0x0e015eec,26,1106,だから、1びょうたりとも\n,,,
0x0e015f08,28,1107,おくれるということはないの\n,,,
0x0e015f24,10,1108,である。\k,,,
0x0e015f30,22,1109,……きちゃったもんは\n,,,
0x0e015f48,15,1110,仕方ないか。\k\n,,,
0x0e015f58,24,1111,やることやんなきゃネ。\k,,,
0x0e015f70,17,1112,で、ジュディ、\k\n,,,
0x0e015f84,26,1113,あたしはココで何をすれば\n,,,
0x0e015fa0,10,1114,いいの?\k,,,
0x0e015fac,22,1115,実はね、この\%\Mランド\n,,,
0x0e015fc4,28,1116,では最近、野菜たちが大はん\n,,,
0x0e015fe0,20,1117,らんを起こしてて、\k,,,
0x0e015ff4,10,1118,みんな、\n,,,
0x0e016000,24,1119,とってもこまってるの。\k,,,
0x0e016018,24,1120,ジュディのお気に入りの\n,,,
0x0e016030,28,1121,リボンもとられちゃったし…\k,,,
0x0e01604c,20,1122,\%\Mちゃんの思い出を\n,,,
0x0e016060,26,1123,消してるのも、野菜たちの\n,,,
0x0e01607c,14,1124,しわざなの。\k,,,
0x0e01608c,20,1125,でもどうして野菜が\n,,,
0x0e0160a0,26,1126,そんなコトするのかなあ。\k,,,
0x0e0160bc,28,1127,”ハクサイだいまおう”って\n,,,
0x0e0160d8,28,1128,すっごい悪い親玉がいるの!\k,,,
0x0e0160f4,20,1129,そいつが野菜たちに\n,,,
0x0e016108,16,1130,命令してるのよ\k,,,
0x0e016118,24,1131,ハクサイだいまおう…?\k,,,
0x0e016130,26,1132,ジュディが聞いた話だと、\n,,,
0x0e01614c,22,1133,ハクサイだいまおうが\n,,,
0x0e016164,22,1134,\%\Mちゃんの思い出を、\k,,,
0x0e01617c,10,1135,どんどん\n,,,
0x0e016188,26,1136,食べちゃってるって………\k,,,
0x0e0161a4,18,1137,だから\%\Mちゃん、\n,,,
0x0e0161b8,28,1138,ジュディのコトもわすれそう\n,,,
0x0e0161d4,20,1139,になってたのよ!!\k,,,
0x0e0161e8,24,1140,ハクサイだいまおう……\k,,,
0x0e016200,26,1141,そいつをやっつけないと、\n,,,
0x0e01621c,28,1142,あたし、大切な思い出をなく\n,,,
0x0e016238,26,1143,しちゃうってコトなのか…\k,,,
0x0e016d14,12,1144,オッホン。\k,,,
0x0e016d20,13,1145,\%\Mちゃん。\k\n,,,
0x0e016d30,26,1146,どさくさにまぎれて連れて\n,,,
0x0e016d4c,18,1147,きてしまったが、\k,,,
0x0e016d60,26,1148,げんじつの世界の住人が、\n,,,
0x0e016d7c,18,1149,勝手に\%\Mランドを\n,,,
0x0e016d90,28,1150,歩くことはいかんであるぞ。\k,,,
0x0e016dac,9,1151,さあ!\k\n,,,
0x0e016db8,28,1152,帰るしたくをするのである。\k,,,
0x0e016dd4,17,1153,え!\k帰れるの?\k,,,
0x0e016de8,8,1154,当然、\n,,,
0x0e016df0,28,1155,時間のとびらの管理人である\n,,,
0x0e016e0c,26,1156,このワシがいっしょなら、\k,,,
0x0e016e28,24,1157,いつでもとびらをあけて\n,,,
0x0e016e40,19,1158,帰れるのである。\k\n,,,
0x0e016e54,16,1159,さ、帰ろうぞ!\k,,,
0x0e016e64,28,1160,クロックさん、あんたねえ、\n,,,
0x0e016e80,28,1161,この一大事になんてこと言っ\n,,,
0x0e016e9c,10,1162,てるの?\k,,,
0x0e016ea8,12,1163,うるさい!\k,,,
0x0e016eb4,28,1164,このことは、とびらの管理法\n,,,
0x0e016ed0,26,1165,第11ジョウで固くキンシ\n,,,
0x0e016eec,20,1166,しておるのである!\k,,,
0x0e016f00,18,1167,あんたね、この\%\M\n,,,
0x0e016f14,22,1168,ランドは、\%\Mちゃんの\n,,,
0x0e016f2c,22,1169,思い出の世界なのよ!\k,,,
0x0e016f44,26,1170,だから、どうだと言うので\n,,,
0x0e016f60,12,1171,あるか? \k,,,
0x0e016f6c,21,1172,まだわかんないの?\k\n,,,
0x0e016f84,28,1173,頭コチコチであッたま悪いん\n,,,
0x0e016fa0,10,1174,だから。\k,,,
0x0e016fac,22,1175,このまま\%\Mちゃんが思\n,,,
0x0e016fc4,28,1176,い出を取られちゃって何も思\n,,,
0x0e016fe0,28,1177,いだせない大人になったら、\k,,,
0x0e016ffc,28,1178,げんじつの世界とこの思い出\n,,,
0x0e017018,28,1179,の世界は完全に切りはなされ\n,,,
0x0e017034,10,1180,ちゃう!\k,,,
0x0e017040,18,1181,そしたらあんた、\n,,,
0x0e017054,18,1182,失業しちゃうよ!\k,,,
0x0e017068,22,1183,時間のとびらなんか、\n,,,
0x0e017080,24,1184,いらなくなるんだから!\k,,,
0x0e017098,28,1185,時間のとびらがいらないんだ\n,,,
0x0e0170b4,28,1186,から、管理人だっていらなく\n,,,
0x0e0170d0,26,1187,なっちゃうでしょーが!!\k,,,
0x0e0170ec,14,1188,な、\kなに?\k\n,,,
0x0e0170fc,16,1189,ワシは用ナシに\n,,,
0x0e01710c,28,1190,なってしまうということか!\k,,,
0x0e017128,26,1191,それは、一大事であるぞ。\n,,,
0x0e017144,12,1192,仕方ない、\n,,,
0x0e017150,22,1193,とくべつにゆるそう。\k,,,
0x0e017168,10,1194,しかし、\n,,,
0x0e017174,22,1195,ワシもお目付役として\n,,,
0x0e01718c,16,1196,ついてゆくぞ。\k,,,
0x0e01719c,24,1197,では、ノロノロやらず、\n,,,
0x0e0171b4,24,1198,キビキビと思い出を取り\n,,,
0x0e0171cc,18,1199,もどすのである。\k,,,
0x0e0171e0,20,1200,でも、どうやって?\k,,,
0x0e0171f4,24,1201,あわわわ!これ!イヌ!\n,,,
0x0e01720c,22,1202,おちつくであるぞ!!\k,,,
0x0e017224,18,1203,\%\B、どうしたの?\k,,,
0x0e017238,20,1204,\%\Bは、もしかしたら\n,,,
0x0e01724c,26,1205,何か手がかりになるものを\n,,,
0x0e017268,28,1206,見つけたのかもしれない!?\k,,,
0x0e017284,22,1207,もしそうだとしたら、\n,,,
0x0e01729c,28,1208,ちっこいけど、ナカナカ役に\n,,,
0x0e0172b8,14,1209,立つイヌね!\k,,,
0x0e0172c8,14,1210,\%\B!お願い!\k,,,
0x0e017c80,20,1211,ゼェゼェ……\%\B……\n,,,
0x0e017c94,28,1212,ゼェ……この木に……ゼェ…\n,,,
