origin,pointers,origin_length,game_order,text_original,text_trans_dialogwidth,text_trans_bookwidth,text_trans_printwidth,notes_alts,,,,,,,,,,,,,,,,,,,,,,
0x0E00C2F8,0x0E00CA18,52,146,さあ、{nl}プレゼントは部屋の中だよ。{nl}さがしてごらん？{np},"Your birthday present is
in this room.... Go ahead,
see if you can find it!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C32C,0x0E00CA1C,20,147,わあ、なんだろう？{np},Whaaa! What could it be?{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C340,0x0E00CBE8,15,148,えっ？{np}えっ？{np},Huh?{np} Huh???{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C350,0x0E00CBF4,33,149,いま、{nl}キューン、っていった？？{np},"Was that...
a little whimper??{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C374,0x0E00CC38,44,150,うっわぁー！　かわいい！！{nl}子犬だああ！！{np}{nl},"AAAAAAAHHH! A PUPPY???!
CUUUUUUTE!!!{np}{nl}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C3A0,0x0E00CC4C,22,151,パパ！！　子犬だあ！{np},OH MY GOD! PAPA! A PUPPY!!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C3B8,0x0E00CE24,48,152,あらっ！子犬じゃない！{np}{nl}まああ　かわいいこと！{np},"Well, if it isn't a puppy?{np}
And such a cutey, too!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C3E8,0x0E00CE34,72,153,ハハハ、前にかってた、{nl}キャプテンが死んで、もう{nl}ずいぶんたったもんな。{np},"Hahaha. Well, it's been a
long while since our old dog
Captain died, I thought.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C430,0x0E00CE38,54,154,新しい、家族よ。{nl}{momo}ちゃん、{nl}名前を付けてあげなさい。{np},"{momomo}, why don't you pick
out a name for this newest
member of our family?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C468,0x0E00CE3C,55,155,うふ　かわいい！！{np}{nl}名前は……{nl}何にしようかなあ………{np},"So cuuuuute!!{np}
A name...
What would be good...{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E058254,0x0E0583A4,24,156,子犬の名前は何にする？{np},"What will you name your
new dog?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E05826C,0x0E0583A8,75,157,十字キーの上下左右で選んで、{nl}Ａボタンで決定だ。{nl}文字を消す時はＢボタンだ。,"Choose a letter with {dpad_all}
and press {btn_a} to enter it.
Delete a letter with {btn_b}.",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0582B8,0x0E0583C8,26,158,{baku}だね。{nl}　{opt}はい／{opt}いいえ,"{doggie} it is!
  {opt}Yes /{opt}No",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C4A0,0x0E00CE74,35,162,{baku}、{nl}キミの名前は{baku}だよ{np}{nl}覚えた？{np},"{doggie}, your name
is {doggie}, ok?{np}
Can you remember that?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C4C4,0x0E00D078,23,163,{baku}！{baku}！{nl}かっわいい！{np},"Haha! {doggie}! {doggie}!
You're so cute!!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C4DC,0x0E00D088,39,164,おっきいお耳！{nl}フフッ　空も飛べそう。{np},"Look at your big ears!{nl}
Hehe, it's like you could
fly with those ears!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C504,0x0E00D090,22,165,パパ！ありがとう！！{np},Papa! THANK YOU!!!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C51C,0x0E00D098;0x0E01077C,6,166,{momo}。{np},{momomo}?{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C524,0x0E00D09C,51,167,生き物なんだから、大事に{nl}かわいがって育てるのよ。{np},"A puppy is a living thing,
so you must raise him with 
love.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C558,0x0E00D0A4,37,168,あきてほったらかしに{nl}しちゃダメよ。{np},"You must not get tired of
him or neglect him.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C580,0x0E00D240,45,169,そうだ、しつけもちゃんと{nl}してあげなきゃな。{np},"Your mother's right.
You also have to train him.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C5B0,0x0E00D258,10,170,しつけ？{np},Train?{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C5BC,0x0E00D25C,54,171,そうだね。{nl}まずは、おすわりを教えて{nl}あげるといいよ。{np},"That's right. Maybe you can
start by teaching him ""sit"".{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C5F4,0x0E00D278,14,172,どうやるの？{np},How do I do that?{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00C604,0x0E00D27C,41,173,パパがやってみせるから、{nl}みていなさい。{np},"Papa will show you.
Watch closely, now.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D280,0x0E00D5C0,44,174,いいかい、{momo}。{nl}こうやって{baku}の{nl}せなかを……{np},"Ready, {momomo}? So, pat
like this, on {doggie}'s
back...{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D2AC,0x0E00D5CC,45,175,「おすわり！」って{nl}言いながらたたくんだよ。{np},"While you do that,
say: ""Sit!""{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D2DC,0x0E00D5D8;0x0E010B44,6,176,{baku}。{np},{doggie}!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D2E4,0x0E00D5DC;0x0E00DBD8,12,177,おすわり！{np},Sit!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D2F0,0x0E00D7B4,10,178,{baku}、{baku}！{np},"{doggie}, {doggie}!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D2FC,0x0E00D7C0,28,179,おすわり！{np}{nl}{baku}、おすわり！{np},"Sit!{np}{nl}
{doggie}, sit!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D318,0x0E00D7CC,50,180,よし！よし！{nl}{baku}はおりこうだな。{nl}もう覚えたのか。{np},"Good! Good!
Clever boy, {doggie}!
Can you remember ""sit""?{np}",,,"Really ""obedient"" but sounds so strict",,,,,,,,,,,,,,,,,,,,,,
0x0E00D34C,0x0E00D7E0,31,181,よ〜し、{nl}いいコだ、いいコだ！{np},"Haha, all right!
Good boy, good boy!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D36C,0x0E00D7E8,49,182,さあ、{momo}。{np}{nl}パパがやったとおりに{nl}やってごらん。{np},"All right, Momo.{np}
Try it just like Papa
showed you.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D3A0,0x0E00D7EC;0x0E00E760;0x0E00EF08,8,183,うん！{np},Okay!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D898,0x0E00DBA0,19,184,{opt}おすわりを教える{nl},"{opt}Teach ""sit""{nl}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D8AC,0x0E00DBD4;0x0E00E720;0x0E00E960,6,185,{baku}！{np},{doggie}!{np},,,"Missing a line that's ""Sit!"" by itself, maybe it's later/repeated",,,,,,,,,,,,,,,,,,,,,,
0x0E00D8B4,0x0E00DDA0,16,187,{baku}、おすわり！{np},"{doggie}, sit!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D8C4,0x0E00DDC0;0x0E00DFB4,16,188,{baku}！おすわり！{np},{doggie}! Sit!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D8D4,0x0E00DEDC,31,189,パパぁ、{baku}{nl}おすわりしないよ。{np},"Papaaaa, {doggie} won't
do it...{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D8F4,0x0E00DEEC,52,190,{momo}。{nl}あきらめちゃダメだよ。{nl}もう１回やってごらん。{np},"{momomo}, you can't give up
so easily. Try it one more
time.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D928,0x0E00DEF0,9,191,うん。{np}{nl},Okay.{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D934,0x0E00DEF4,39,192,{opt}おすわりを教える。{nl}{opt}教えるのやめる。{nl},"{opt}Teach ""sit""{nl}
{opt}Give up{nl}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D95C,0x0E00DEFC,50,193,{momo}。{np}{nl}あきらめちゃダメだ。{np}{nl}根気よく続けなきゃ。{np},"{momomo}, don't give up.
You have to be patient.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D990,0x0E00E114,29,202,やったー！！{nl}{baku}、エラーイ！{np},"Yahaaaaa!
Amazing, {doggie}!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00D9B0,0x0E00E134,44,203,パパ、{baku}が{nl}おすわりできるように{nl}なったよ。{np},"Papa, I think {doggie} knows
""sit"" now!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E2D4,0x0E00E3A8,35,204,よーし、じゃあ{nl}次はとってこいだ！{np},"Okay!
Next up is ""fetch.""{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E2F8,0x0E00E3B4,39,205,パパのやりかたを{nl}よく見ているんだよ。{np},"Watch closely how Papa
does it.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E3C4,0x0E00E750,31,207,{baku}。{nl}あそこにボールあるだろ。{np},"{doggie}, see the ball over
there?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E3E4,0x0E00E75C,42,208,{momo}、{nl}{baku}にボールって{nl}どれか教えてあげて。{np},"{momomo}, now you teach
{doggie} what a ball is.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E410,0x0E00E970,31,211,これだよ！{nl}これがボールだよ！{np},"This! This is the ""ball""!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E430,0x0E00E974,31,212,{baku}、あれだよ。{nl}あれがボール。{np},"{doggie}, there, that's
a ""ball"".{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E450,0x0E00EB44,35,213,そうそう、{baku}。{nl}あれ、取ってきて！{np},"That's right, {doggie}!
Now, fetch it!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E474,0x0E00EB60,34,214,{baku}。{nl}ボール取ってきて！{nl}ボール！{np},"{doggie}, fetch me the ball!
The ball!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E498,0x0E00EB94,43,215,そう、{baku}、あっちよ！{nl}パパに持っていって！{np},"Yes, {doggie}, that's the 
ball! Now take it to Papa!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E4C4,0x0E00ED80,44,216,{baku}、{nl}ボール持ってきて。{nl}パパに持ってきて。{np},"{doggie}, bring me the ball.
Bring it to Papa!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E4F0,0x0E00EDC8,12,217,やったー！{np},Yeah!!!!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E4FC,0x0E00EDCC,29,218,よ〜し、{baku}。{nl}エライぞ！{baku}。{np},"All right, {doggie}!
Good boy, {doggie}!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00E51C,0x0E00EEF8,37,219,よし、それじゃあ{nl}{momo}、やってごらん。{np},"Ok, now you try, {momomo}.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00EF0C,0x0E00F2C0,20,221,{baku}、こっちおいで！{np},"Come here, {doggie}!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00EF20,0x0E00F2FC,33,222,よ〜し、{baku}{nl}おりこう、おりこう。{np},"All right, {doggie}!
Good boy, good boy!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00FDD0,0x0E00FFB4,27,223,{baku}、{nl}ボール、あのボール。{np},"{doggie}, ball. That ball.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00FDEC,0x0E00FFC4,24,224,あのボール取ってきて！{np},Fetch that ball!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00EF44,0x0E00F304,51,225,{baku}………{np}{nl}{opt}とってこいを教える。{nl}{opt}教えるのやめる。{nl},"{doggie}...{np}{nl}
{opt}Teach ""fetch""{nl}
{opt}Give up{nl}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00FFD0,0x0E0101C4,33,226,{baku}、{nl}ボール！ボール取ってきて！{np},"{doggie}, ball! Bring me
the ball!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00EF78,0x0E00F398,21,227,ダメだよー、{baku}……{np}{nl},"No, {doggie}....{nl}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E00EF90,0x0E00F39C,41,228,{opt}とってこいを教える。{nl}{opt}教えるのやめる。{nl},"{opt}Teach ""fetch""{nl}
{opt}Give up{nl}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01020C,0x0E0102D0,38,229,{baku}！{nl}ボール取ってきて！{nl}おねがい！！{np},"{doggie}!
Bring me the ball!
Please!!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E010ED4,0x0E010F58,70,231,{momo}、これもおすわりと{nl}同じであきらめちゃダメだ。{nl}根気よくやるんだよ。{np},"{momomo}, just like with
""sit"", you can't give up.
Have patience!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0102F8,0x0E010754,17,235,…………{np}{baku}！！{np},......{np}{DOGGIE}!!!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01030C,0x0E010768,25,236,ボール！{nl}取ってきて！！{np},"BALL!
FETCH!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E010328,0x0E010784,47,238,{momo}はちょっと{nl}イライラしてるんじゃ{nl}ないかな。{np}{nl},"{momomo}, you're losing your
patience, a little, hm?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E010358,0x0E010788,8,239,え！？{np},Huh?{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E010360,0x0E01078C,27,240,{baku}にだって{nl}心があるんだ。{np},"Even {doggie} has a heart,
you know.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01037C,0x0E010790,46,241,{baku}が{momo}の{nl}思いどうりに持ってこない{nl}からって、{np},"When {doggie} didn't fetch
just the way you wanted,{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0103AC,0x0E010794,37,242,{momo}はイライラ{nl}してたんじゃないかな。{np},"you got a little
frustrated, right?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0103D4,0x0E010798,62,243,{baku}はとてもビンカン{nl}だから、ちゃんと{momo}の{nl}様子がわかるんだよ。{np},"{doggie} is very intuitive.
He can read your body
language.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E010414,0x0E0107A0,37,244,イライラしてる{nl}{momo}の所には来ないよ。{np},"He's not going to come to
you if you're angry.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01043C,0x0E0107A4,12,245,そおねぇ…{np},On the other hand...{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E010448,0x0E010960,70,246,{baku}が一度でも取って{nl}きてくれたら、たくさん{nl}ほめてあげるといいかもね。{np},"If {doggie} fetches the ball
even once, you could try and
lavish him with praise.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E010490,0x0E010964,49,247,{baku}がとっても{nl}うれしくなるくらい、{np}{nl}たくさんね。{np},"So much praise! Until he's
almost bursting with joy!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0104C4,0x0E010968,46,248,そうしたら{baku}は{nl}また{momo}にほめて{nl}もらいたくて、{np},"That way, {doggie} will do
anything to bask in your
praise again.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0104F4,0x0E01096C,50,249,ボールを持ってくる{nl}ようになるんじゃ{nl}ないかしら。{np},"And he might even learn
""fetch"" that way, don't
you think?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E010528,0x0E01097C,12,250,そうか……{np},Huh...!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E010534,0x0E010980,61,251,うん、わかった！{np}{nl}イライラしない！{np}{nl}たくさんほめる！{np}だね。{np},"Okay, got it!{np}
I won't lose my patience.{np}
Lots of praise.{np} Right!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E010574,0x0E010984,14,252,やってみる！{np},Let's give it a shot!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E010988,0x0E010B60,41,255,ボール取ってきて！{np}{nl}ボール。{nl}ボールよ！{np},"Bring me the ball!{np}
The ball. Ball!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
